date,CCF,CCF_quality,TPP,TPP_quality,VNS,VNS_quality,FPT,FPT_quality,CAL,CAL_quality,COS,COS_quality,MOKE,MOKE_quality,GEO_A,GEO_A_quality,GEO_C,GEO_C_quality,binarized_FREWEIR,Horizon_15,Horizon_20,Horizon_25,Horizon_30,Horizon_35,Horizon_40,Horizon_45,Horizon_50,Horizon_55,Horizon_60,Horizon_65,Horizon_70,Horizon_75,Horizon_80
7/27/2023,6641.714286,0,4215.142857,0,5471.714286,0,15331.07143,0.142857143,250,0,99.21428571,0,1358.571429,0,10100,0,4011.428571,0,0,20.46768761,20.08875847,19.51721764,19.26485825,18.88410759,18.4934082,18.1169014,17.8862133,17.51692772,17.20907974,16.67989349,16.26455307,15.84265041,15.56542301
7/28/2023,6642.142857,0,4216.571429,0,5280.571429,0,15601.14286,0,250.4285714,0,96.8,0,1305.714286,0,10271.42857,0,4061.428571,0,0,20.13204193,19.95069695,19.41337204,19.14351845,18.76612091,18.46326256,18.08408165,17.84255791,17.48211288,17.1840477,16.66318703,16.26569939,15.80854225,15.51879883
7/29/2023,6643.285714,0,4215.714286,0,5058.714286,0,15917.71429,0,247.2857143,0,95.04285714,0,1261.428571,0,10464.28571,0,4128.571429,0,0,20.64431763,20.30833435,19.87338829,19.45671272,19.02353477,18.67880821,18.31710052,18.11174583,17.69428635,17.34312248,16.98100471,16.65440178,16.30529404,15.92903233
7/30/2023,6642.571429,0,4178.428571,0,4826.857143,0,16323,0,244.5714286,0,93.42857143,0,1217.142857,0,10685.71429,0,4205.714286,0,0,20.73261261,20.48771667,20.08623123,19.64378548,19.2456646,18.86807632,18.49001884,18.27682114,17.82422447,17.36757851,17.01859665,16.67838669,16.28562164,15.8808918
7/31/2023,6644.857143,0,4084.285714,0,4592.142857,0,16736.57143,0,243.1428571,0,91.94285714,0,1170,0,10914.28571,0,4261.428571,0,0,20.97009468,20.54984474,20.10045624,19.63261414,19.28266335,18.94930458,18.58103561,18.27289772,17.91565895,17.55076599,17.13855362,16.8067131,16.39462662,16.0149498
8/1/2023,6675,0,4085.285714,0,4339.428571,0,17140.57143,0,243.4285714,0,91.01428571,0,1099.428571,0,11142.85714,0,4302.857143,0,0,21.02309608,20.60753632,20.10905457,19.64659119,19.24905777,18.99676704,18.69054031,18.40253067,18.00422668,17.62170601,17.23021126,16.91256332,16.51703072,16.10445023
8/2/2023,6676.285714,0,4088,0,4097.571429,0,17486.57143,0,243.2857143,0,90.44285714,0,1002.714286,0,11357.14286,0,4361.428571,0,0,20.85756493,20.52190399,20.00281906,19.50085449,19.07142067,18.7930336,18.4938736,18.15925217,17.73682022,17.44951439,17.02883148,16.7612896,16.42548943,15.94846821
8/3/2023,6675.857143,0,4090.428571,0,3894.142857,0,17737.71429,0,236.8571429,0,90.02857143,0,884.1428571,0,11542.85714,0,4415.714286,0,0,20.98133278,20.4938736,20.03982353,19.57330704,19.11698532,18.79146957,18.50388336,18.16034126,17.77626228,17.46591568,17.04779625,16.69942474,16.28757095,15.73741436
8/4/2023,6676.428571,0,4094.285714,0,3751.857143,0,17922.28571,0,228.1428571,0,89.71428571,0,784,0,11700,0,4452.857143,0,0,21.12701797,20.61666298,20.34758186,19.94639206,19.39975166,19.00488472,18.6399765,18.29865837,17.89018822,17.51429558,17.17173958,16.79243469,16.41892433,15.92075634
8/5/2023,6675,0,4092.857143,0,3682.857143,0,18009.42857,0,221.1428571,0,88.87142857,0,696.1428571,0,11785.71429,0,4467.142857,0,0,21.01698494,20.66011429,20.40793228,19.93353271,19.39251709,19.03104973,18.65592575,18.25822639,17.77682686,17.33551598,16.92948723,16.53658104,16.14302063,15.67872238
